category,A1,B2,B3,B4,B5,B6,B7,C8,C9,D10,D11,D12,E13,E14,F15,F16,F17,F18,F19,G20,G21,G22,G23,G24,H25,H26,H27,H28,H29,H30,H31,H32,I33,I34,I35,J36,J37,J38
0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,1,2,1,1,1,1,1
1,0,0,1,0,0,1,2,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0
2,0,0,1,0,0,1,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0,1,-1,-1,-1,-1,0,-1
3,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1
4,0,1,1,0,0,0,2,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,2,1,0,1,0,1,0,2,0,0,1,1,1,1,1,2
5,0,1,1,0,0,2,2,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,2,0,0,1,1,1,1,1,1
6,0,1,1,0,0,0,2,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,2,0,0,1,1,1,1,1,1
7,0,0,1,0,0,2,2,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,-1,3,1,1,1,0,0
8,0,1,0,0,0,0,1,1,1,0,2,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,-1
9,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,3,0,1,0,0,1,1,1,-1
10,0,1,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,3,1,1,0,0,1,1,1,-1
11,0,1,1,1,2,0,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,2,2,0,1,0,1,1,2,0,1,3,1,1,1,1,2
12,0,1,1,1,2,0,2,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,2,2,0,1,0,1,1,2,0,1,3,1,1,1,1,2
13,0,1,1,1,2,0,2,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,2,2,0,1,0,1,0,3,0,1,2,1,1,1,1,1
14,0,1,1,0,1,0,2,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,2,2,0,1,0,1,0,3,0,0,2,1,1,1,1,1
15,0,1,1,1,2,0,2,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,-1,-1,-1,-1,-1,-1
16,0,1,1,1,2,0,2,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,3,1,1,1,1,2
17,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,-1,0,0,-1,0,2,1,-1,1,0,-1,0,0,0,1,0,1,1,1,1,1
18,0,1,1,1,2,0,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2,0,1,0,1,0,3,0,1,-1,-1,-1,-1,-1,-1
19,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,2
20,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,2,0,1,0,1,0,1,0,0,0,1,1,0,1,2
21,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,-1
22,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,2,1,0,0,1,1,0,1,2
23,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,2
24,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,2
25,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,2
26,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,2
27,0,1,0,1,2,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,2
28,0,1,0,1,2,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,1,1,0,1,2
29,0,1,1,1,2,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,2,0,1,0,1,0,1,0,1,-1,-1,-1,-1,-1,-1
30,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,3,0,0,3,0,1,0,1,0
31,1,1,0,1,2,0,0,-1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,0,1,1,1,2
32,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,1,0,1,1,0,1,0
33,1,1,1,0,0,-1,1,1,1,0,1,1,1,0,1,0,0,-1,0,0,0,1,0,1,0,1,0,1,0,0,-1,0,2,1,0,0,0,0
34,1,1,1,1,2,-1,0,0,0,0,1,1,1,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,-1,0,0,-1,0,2,0,1,0,1,2
35,1,1,1,1,2,-1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,2,0,1,2,1,1
36,1,1,1,-1,2,-1,-1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,1,1,0,0,0
37,1,1,1,-1,1,-1,1,0,1,0,1,1,1,0,1,0,0,-1,-1,0,0,0,0,1,0,0,1,-1,0,0,0,1,2,0,1,0,1,0
38,1,1,1,-1,2,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,2,0,1,0,1,0
39,1,1,1,-1,2,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,-2,-2,-2,-2,-2,1,0,0,0,0,2,0,1,-1,1,1
40,1,1,1,1,2,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,2,0,-1,1,0,1,0,3,0,0,1,1,1,0,1,0
