id,text,score,answer
1100,为推翻北洋军阀的反动通知和抗击日本侵略、挽救民族危亡、国共两党曾两次合作。请分别说出国共两次合作的重要历史作用。,4.0,第一次国共合作，进行国民革命运动，有力推动了北伐战争的胜利，推翻北洋军阀统治（2分）；第二次国共合作，建立抗日民族统一展现，领导全民族抗战，成为抗日胜利的保障（2分）。
1701,列举孙中山领导辛亥革命的指导思想,4.0,三民主义（1分）；民族（1分）；民权（1分）；民生（1分）。
1702,列举第一，二次工业革命中出现的新式交通工具,4.0,轮船（1分）；火车（1分）；汽车（1分）；飞机（1分）。
1703,列举《南京条约》《马关条约》中被列强割占的地方？,6.0,《南京条约》，英国（1分）；香港岛（1分）；《马关条约》，日本（1分）；辽东半岛（1分）；台湾（1分）；澎湖列岛（1分）。
0201,对“唐太宗与贞观之治的评价”,6.0,（1）知人善任（1分），他用人不计较资历出身，不计亲疏恩怨，凡有治国安邦之才，都委以重任。（2分）（2）虚心纳谏（1分），唐太宗在位期间，觐见的大臣很多，以魏徵最著名。（2分）
0202,中国为什么能恢复在联合国的合法席位,6.0,（1）经过全国人民的多年共同努力，中国经济、文化、教育、科技、国防等各个方面取得了很大成就。（2分）（2）中国政府长期坚持奉行独立自主的和平外交政策。（2分）（3）由于当时国际关系格局影响。（2分）
0203,从日本、韩国、新加坡发展的史实中，人们能够得到什么启示？,6.0,（1）要坚持不懈的狠抓教育事业。（2分）（2）要加强同国外的科技合作，大胆引进海外人才，密切关注世界科技发展新动态。（2分）（3）在加入世贸组织的基础上积极开拓国际市场，迅速发展对外贸易，加强对发展中国家的投资。（2分）
0204,比较秦始皇、汉武帝、唐太宗他们有哪些共同点？,6.0,（1）富有才干（2分）（2）英武果断（2分）（3）勇于创新（2分）
0205,怎样评价林肯？,4.0,（1）内战期间颁布了《宅地法》和《解放黑人奴隶宣言》，扭转了战局加速了北方军事胜利的进程。（2分）（2）领导美国人民取得了南北战争的胜利，维护了国家统一，为美国资本主义的加速发展扫清了道路，并为美国跻身于世界列国之列奠定了基础。（2分）
0206,第一次世界大战的影响？,8.0,（1）战争给人类造成深重的灾难和破坏。（2分）（2）第一次世界大战引发了一系列革命运动，俄国十月革命建立第一个社会主义国家。（2分）（3）第一次世界大战改变了资本主义列强的战略战局。欧洲在世界上的中心地位开始动摇，美国和日本迅速崛起。（2分）（4）第一次世界大战在客观上推动了科学技术的发展。（2分）
0207,指出中国“新民主主义革命”开始于哪一事件。说出“周恩来同志为我们党探索中国革命正确道路、创建人民军队、创建革命统一战线”过程中的历史事件,2.0,五四运动（1分）担任黄埔军校政治部主任；领导南昌起义；参加长征；促进西安事变和平解决；参加重庆谈判；等等（1分，答出其中任一点即可，符合题意的其他答案也可）
0208,"20世纪30年代美国曾遭遇了重大危机,它是如何摆脱危机的?这一做法,在美国历史的发展进程中起了什么作用?",3.0,"罗斯福新政或新政。（1分）提示:增强了美国政府的宏观调控能力,恢复了美国人民的信心,对资本主义世界产生了深远影响等。(言之有理即可)（2分）"
